Name,URL,Category,Description,Misc
Kathmandu Post,https://kathmandupost.com/,"General News, English","One of the leading English-language dailies in Nepal, covering a wide range of news.",
Ekantipur,https://ekantipur.com/,"General News, Online","One of the most popular online news portals in Nepal, offering news in both Nepali and English.",
Setopati,https://setopati.com/,"General News, Online",Popular online news portal offering in-depth news and analysis in Nepali.,
Himal Khabarpatrika,https://www.himalkhabar.com/,"Magazine, Current Affairs","Popular bi-weekly magazine focusing on current affairs, politics, and social issues.",
Online Khabar,https://www.onlinekhabar.com/,"General News, Online",Leading digital news portal offering comprehensive coverage of news in Nepali.,
Nagarik News,https://nagariknews.nagariknetwork.com/,"General News, Daily","Widely read daily newspaper in Nepal, offering news in Nepali.",
BBC Nepali,https://www.bbc.com/nepali,"International News, Radio",BBC's Nepali-language service providing international and national news.,
My Republica,https://myrepublica.nagariknetwork.com/,"General News, English",English-language daily providing news and analysis on current events.,
Nepal News,https://nepalnews.com/,"General News, Online","Online news portal covering various topics including politics, sports, and entertainment.",
Ratopati,https://www.ratopati.com/,"General News, Online",Popular online news portal offering news in Nepali and English.,
DCnepal Samachar,https://www.dcnepal.com/,"Diaspora News, Online","News portal for the Nepali diaspora, delivering updates in Nepali.",
Image Khabar,https://www.imagekhabar.com/,"General News, Online",Online news portal offering multimedia news content including videos.,
News24 Nepal,https://www.news24nepal.tv/,"General News, Television",Television news channel offering 24-hour news coverage in Nepali.,
Nepali Times,https://www.nepalitimes.com/,"General News, English",Leading English-language weekly newspaper covering national and international news.,
Ujyaalo Online,https://ujyaaloonline.com/,"General News, Radio, Online","Online news portal affiliated with Ujyaalo Radio, offering news in Nepali.",
Khabarhub,https://english.khabarhub.com/,"General News, Online",Online news portal offering news in both Nepali and English.,
Rising Nepal,https://risingnepaldaily.com/,"General News, English",State-run English-language daily newspaper covering national news.,
Gorkhapatra,https://gorkhapatraonline.com/,"General News, Nepali","Nepal’s oldest newspaper, state-run, offering news in Nepali.",
Annapurna Post,https://annapurnapost.com/,"General News, Daily",Popular daily newspaper in Nepal providing news and analysis in Nepali.,
Deshsanchar,https://deshsanchar.com/,"General News, Online",Online news portal providing in-depth news coverage in Nepali.,
Nepali Patra,https://www.nepalipatra.com/,"Diaspora News, Online","News portal aimed at the Nepali community abroad, offering news in Nepali.",
Surksha Khabar,https://www.surkshakhabar.com/,Security News,News portal focused on security and crime news in Nepal.,
Khabar Nepal,https://khabarnepal.com/,"General News, Online",Online news portal covering a wide range of topics in Nepali.,
Himalaya TV,https://www.himalayatv.com/,"Television, General News",Television channel with an online platform offering Nepali news.,
Baahrakhari,https://www.baahrakhari.com/,"General News, Online",Online news portal providing in-depth news coverage in Nepali.,
Sajha Post,https://www.sajhapost.com/,"General News, Online","Popular online news portal offering news, blogs, and opinions in Nepali.",
Lokantar,https://www.lokantar.com/,"General News, Online",Online news portal providing national and international news in Nepali.,
Hamrakura,https://www.hamrakura.com/,"General News, Online",Online platform delivering news updates and analysis in Nepali.,
Nepali Headline,https://www.nepaliheadline.com/,"General News, Online",Online news portal offering the latest news and headlines in Nepali.,
Makal Khabar,https://makalkhabar.com/,"General News, Online",Online news platform providing news and articles in Nepali.,
Sourya Daily,https://www.souryadaily.com/,"General News, Daily",Daily Nepali-language newspaper providing comprehensive news coverage.,
Khabar Bhitra,https://www.khabarbhitra.com/,"General News, Online",Online news portal with a focus on Nepali news and current affairs.,
Prateek Daily,https://www.prateekdaily.com/,"General News, Daily",Nepali-language daily newspaper offering national and international news.,
Samudrapari,https://www.samudrapari.com/,"Diaspora News, Online",Online news portal targeting Nepali communities abroad.,
Nepal Samaya,https://www.nepalsamaya.com/,"General News, Online",Nepali news portal covering current events and issues.,
Janata Samachar,https://www.janatasamachar.com/,"General News, Online",News portal offering updates and analysis on various topics in Nepali.,
Shilapatra,https://www.shilapatra.com/,"General News, Online",Online news portal delivering news and opinion pieces in Nepali.,
Nepal Press,https://www.nepalpress.com/,"General News, Online",Digital news platform providing breaking news and in-depth reports in Nepali.,
Desh Sanchar,https://www.deshsanchar.com/,"General News, Online",News portal focused on providing Nepali news and features.,
eAdarsha,https://www.eadarsha.com/,"General News, Online",Online news portal providing news updates primarily for the Pokhara region in Nepali.,
News Kantipur,https://www.newskantipur.com/,"General News, Online",Digital news platform offering breaking news and current affairs in Nepali.,
Nepal Page,https://www.nepalpage.com/,"General News, Online",Online news portal providing national and international news in Nepali.,
Everest Times,https://www.everest-times.com/,"General News, Diaspora","News platform targeting the Nepali diaspora, offering news in both Nepali and English.",
Madheshvani,https://www.madheshvani.com/,"Regional News, Online",Online news portal focusing on news and issues from the Madhesh region of Nepal.,
Pahilopost,https://pahilopost.com/,"General News, Online",Online news platform known for its prompt updates on national events in Nepali.,
Bizmandu,https://www.bizmandu.com/,"Business News, Online",Online portal providing business news and economic updates in Nepali.,
eKhabar,https://www.ekhabar.com/,"General News, Online",Digital news platform offering a wide range of news topics in Nepali.,
Nepali Sansar,https://www.nepalisansar.com/,"Diaspora News, Online",News portal catering to the Nepali community abroad with updates in English.,
Naya Patrika,https://www.nayapatrikadaily.com/,"General News, Daily",Daily newspaper providing comprehensive coverage of news in Nepali.,
